DATE,BITCOIN,ETHEREUM,BINANCE-COIN,SOLANA
2020-01-05,7351.37705317,134.1368827,13.79457523,
2020-01-06,7349.97224805,135.00571364,14.00636071,
2020-01-07,7734.67551579,143.80639796,14.90050444,
2020-01-08,8147.41523764,143.01943226,14.96951629,
2020-01-09,8045.78912459,140.27393527,14.49911394,
2020-01-10,7832.79564384,137.86055928,14.40240029,
2020-01-11,8180.5131698,144.60477435,15.07265126,
2020-01-12,8012.08578181,142.18233327,14.89765484,
2020-01-13,8171.40118532,145.42287634,15.30362181,
2020-01-14,8110.6479645,143.58796905,15.16279627,
2020-01-15,8801.87121314,165.99143855,16.65121704,
2020-01-16,8820.850106,166.2530969,17.65995959,
2020-01-17,8720.91950137,163.80590111,17.01346228,
2020-01-18,8902.56899523,171.15621788,18.06731694,
2020-01-19,8906.90267515,174.23837318,17.77956566,
2020-01-20,8690.38056954,166.62710595,17.3546721,
2020-01-21,8631.25395433,166.93852806,17.33176895,
2020-01-22,8724.81862293,169.27993586,18.10566377,
2020-01-23,8665.4369141,167.82652964,17.78528737,
2020-01-24,8415.95602734,162.51937111,16.98120135,
2020-01-25,8432.09667579,162.40947975,17.02580292,
2020-01-26,8348.66566508,160.67361086,16.94388901,
2020-01-27,8595.72829849,167.64740959,17.43695281,
2020-01-28,8879.33554871,169.73643574,17.63534383,
2020-01-29,9320.80585387,175.19000305,18.05671871,
2020-01-30,9276.89382109,173.70688824,17.84868978,
2020-01-31,9509.80513558,184.72621843,18.57446821,
2020-02-01,9308.06028556,179.22910385,18.10259189,
2020-02-02,9363.2242068,183.33693755,18.14697994,
2020-02-03,9338.41663194,188.55064179,18.42978587,
2020-02-04,9308.91270229,189.86176346,18.46972778,
2020-02-05,9179.95928108,188.84220737,18.12227006,
2020-02-06,9592.1838739,203.85931837,19.18498174,
2020-02-07,9744.63657816,212.73341421,20.60635932,
2020-02-08,9799.44845582,223.27631975,22.12459724,
2020-02-09,9890.70165819,223.30077697,21.79557767,
2020-02-10,10148.37971913,228.29226083,23.91937491,
2020-02-11,9890.12122402,224.14699652,25.25283145,
2020-02-12,10226.92576922,236.78534853,25.67332748,
2020-02-13,10328.89756584,264.03276824,26.42048901,
2020-02-14,10221.2603092,267.6704445,25.40353101,
2020-02-15,10320.15714051,284.23189147,26.23761464,
2020-02-16,9894.13612379,263.89994639,24.06623247,
2020-02-17,9943.67360258,262.15624432,23.64223437,
2020-02-18,9723.60502642,267.93566562,23.57106009,
2020-02-19,10133.81741708,281.94574031,24.02472172,
2020-02-20,9618.40924825,259.18380375,22.25110406,
2020-02-21,9608.16918128,257.9883953,22.1400916,
2020-02-22,9673.01180027,265.16445913,22.12011684,
2020-02-23,9658.60605838,260.99654013,21.93521265,
2020-02-24,9946.71612347,274.63121578,22.87150377,
2020-02-25,9670.96080647,265.24219122,22.03412707,
2020-02-26,9345.34270173,248.31738139,20.38515618,
2020-02-27,8801.65712947,224.8105083,18.71084905,
2020-02-28,8781.1752822,225.42971512,19.12124747,
2020-02-29,8717.33143136,227.70528448,18.96783851,
2020-03-01,8552.98911858,218.34835693,19.31627435,
2020-03-02,8567.80224868,218.93979697,18.99084847,
2020-03-03,8905.87610426,231.67944605,19.86962387,
2020-03-04,8756.71857674,223.96011602,19.59198541,
2020-03-05,8758.64699319,224.13487737,19.99801653,
2020-03-06,9038.87032323,228.0809351,20.81956237,
2020-03-07,9135.84506603,244.23846952,21.3200619,
2020-03-08,8902.20195011,237.3807902,20.0346305,
2020-03-09,8041.36553807,198.81964229,16.87686615,
2020-03-10,7921.33200691,200.84687148,16.58353401,
2020-03-11,7906.73152851,200.74903855,16.88554253,
2020-03-12,7935.52204017,194.21794124,16.56793677,
2020-03-13,5142.99045902,110.59789783,9.47289827,
2020-03-14,5542.81954237,132.5728577,10.89497092,
2020-03-15,5214.18911238,123.03084411,10.13127817,
2020-03-16,5397.93335744,124.60342553,10.38557708,
2020-03-17,5032.50135149,110.99159845,9.4006708,
2020-03-18,5389.41577503,117.21704139,10.3342805,
2020-03-19,5376.28074785,117.70042465,10.37360276,
2020-03-20,6170.20060024,136.81187579,12.25320977,
2020-03-21,6195.60350526,131.96469397,11.85072095,
2020-03-22,6145.77089125,131.94321845,11.99980747,
2020-03-23,5859.6474303,122.52059877,11.17898171,
2020-03-24,6456.34748596,135.58865798,12.10417697,
2020-03-25,6730.17378237,138.77657127,12.45297309,
2020-03-26,6695.9006184,136.23392142,12.34602394,
2020-03-27,6765.56207893,138.7669376,13.21323912,
2020-03-28,6397.82632833,130.28656189,12.35710327,
2020-03-29,6255.00039869,131.42405214,12.21798551,
2020-03-30,5915.33715479,125.31887452,11.33580088,
2020-03-31,6403.14123557,132.36373895,12.18632618,
2020-04-01,6421.70541389,133.23644684,12.59992173,
2020-04-02,6640.79766631,136.21638557,12.72926799,
2020-04-03,6807.89701789,141.45370535,13.08091335,
2020-04-04,6732.85201839,141.26154327,13.32378684,
2020-04-05,6859.42492372,144.20080268,13.78045918,
2020-04-06,6788.04827261,142.85088346,13.70949255,
2020-04-07,7297.63555829,169.85504979,15.13632387,
2020-04-08,7196.78220244,164.51601971,14.6599825,
2020-04-09,7342.29160115,172.80356827,15.07540138,
2020-04-10,7294.48887512,170.09510352,15.02875919,
2020-04-11,6864.69425701,157.74015801,13.71882591,0.95760583
2020-04-12,6878.78121259,158.32787794,13.82675862,0.78471131
2020-04-13,6913.15878747,158.86382572,14.26511655,0.87599441
2020-04-14,6857.53853751,156.70135879,15.04557286,0.78671219
2020-04-15,6860.1785357,158.26715118,15.5827208,0.66667339
2020-04-16,6629.43173803,153.22286368,14.58594862,0.63762107
2020-04-17,7059.92622476,171.77599075,15.66673786,0.69233313
2020-04-18,7035.26150399,170.44589048,15.6162811,0.6574494
2020-04-19,7242.51092949,187.14354412,16.55295504,0.67697219
2020-04-20,7127.51194969,180.05859654,16.04655016,0.60943584
2020-04-21,6856.45627835,170.70405869,15.02780434,0.53479049
2020-04-22,6842.03859763,170.45154288,15.09650786,0.57282692
2020-04-23,7109.99529118,182.27675766,15.68673879,0.68488722
2020-04-24,7382.79314412,184.59370248,15.97013671,0.62170328
2020-04-25,7495.3935875,187.34336861,15.89482742,0.62276509
2020-04-26,7538.55768728,194.11423683,16.23724614,0.64709032
2020-04-27,7683.86741508,197.22990445,16.37395252,0.6398628
2020-04-28,7774.28155445,196.46262535,16.41271866,0.56831548
2020-04-29,7758.23025519,197.15473157,16.36205781,0.65742832
2020-04-30,8744.43028702,215.54817267,17.3937214,0.74118901
2020-05-01,8610.63580374,205.55600541,16.98087375,0.69308972
2020-05-02,8824.81841355,211.96829535,17.45178287,0.71695393
2020-05-03,8966.30701469,213.94301121,17.51966126,0.71243789
2020-05-04,8888.67191269,210.02470947,17.09493835,0.68660982
2020-05-05,8884.40781358,206.83253423,17.01924644,0.67282974
2020-05-06,9003.24055762,205.22517974,16.88323324,0.65030815
2020-05-07,9144.68703972,200.2547945,16.51209314,0.61940036
2020-05-08,9959.16641626,212.2924762,16.97350797,0.60893989
2020-05-09,9821.8113153,211.68904835,17.17429639,0.60893966
2020-05-10,9566.77718721,210.43181814,16.83105799,0.6017918
2020-05-11,8752.61708775,188.13722616,15.31910412,0.54177793
2020-05-12,8604.75159102,185.6747181,15.07906074,0.5139235
2020-05-13,8788.46674941,189.30578182,15.73790761,0.53334265
2020-05-14,9283.08601266,199.36937254,16.17874465,0.5533191
2020-05-15,9796.49452702,203.21124699,16.35433834,0.57428142
2020-05-16,9309.29535941,194.27309778,15.66553993,0.5564342
2020-05-17,9375.29710843,200.5833909,15.99885403,0.59896611
2020-05-18,9666.3271934,206.76889404,16.2809232,0.61593374
2020-05-19,9708.43985879,214.35764165,16.60987225,0.64773444
2020-05-20,9760.19893716,213.68672021,17.16757332,0.62193575
2020-05-21,9526.50759301,209.92078829,16.88145435,0.57958594
2020-05-22,9059.96250687,198.91751575,16.06690957,0.6055661
